CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   97.34%    421.1MiB / 15.5GiB   2.65%     33.7kB / 64.4kB   373MB / 67.8MB    7
088cb4583de3   cachito_asyncio-cachito-api-1      0.43%     158.4MiB / 15.5GiB   1.00%     37.6kB / 38kB     24.4MB / 115kB    3
60368a64c337   cachito_asyncio-nexus-1            0.74%     1.954GiB / 15.5GiB   12.61%    61.8kB / 16.7kB   208MB / 354MB     106
24a20d4f4018   cachito_asyncio-db-1               0.02%     31.25MiB / 15.5GiB   0.20%     22.4kB / 15.7kB   20.5MB / 76.4MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.32%     1.607GiB / 15.5GiB   10.37%    25.8kB / 17.3kB   36.9MB / 1.56MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     27.91MiB / 15.5GiB   0.18%     7.06kB / 696B     31.3MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   97.93%    809MiB / 15.5GiB     5.10%     37.8kB / 68.2kB   797MB / 1.25GB    7
088cb4583de3   cachito_asyncio-cachito-api-1      0.53%     154.2MiB / 15.5GiB   0.97%     37.9kB / 38.1kB   24.4MB / 115kB    3
60368a64c337   cachito_asyncio-nexus-1            1.17%     1.911GiB / 15.5GiB   12.33%    62.1kB / 16.7kB   209MB / 354MB     105
24a20d4f4018   cachito_asyncio-db-1               0.02%     37.58MiB / 15.5GiB   0.24%     22.7kB / 15.7kB   30.9MB / 76.4MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.13%     1.605GiB / 15.5GiB   10.35%    29.2kB / 20.6kB   38.6MB / 1.56MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     25MiB / 15.5GiB      0.16%     7.3kB / 762B      31.3MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.47%     516.4MiB / 15.5GiB   3.25%     1.03MB / 89.8kB   819MB / 1.54GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.44%     149.6MiB / 15.5GiB   0.94%     56kB / 62.6kB     27.9MB / 127kB    3
60368a64c337   cachito_asyncio-nexus-1            132.16%   2.035GiB / 15.5GiB   13.13%    1.48MB / 895kB    232MB / 374MB     124
24a20d4f4018   cachito_asyncio-db-1               0.03%     36.27MiB / 15.5GiB   0.23%     38.7kB / 30.1kB   35.9MB / 76.4MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.24%     1.612GiB / 15.5GiB   10.40%    38.5kB / 29.9kB   54.5MB / 1.58MB   37
2e052d829465   cachito_asyncio-athens-1           0.09%     18.56MiB / 15.5GiB   0.12%     7.42kB / 762B     31.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.46%     516.4MiB / 15.5GiB   3.25%     1.18MB / 103kB    819MB / 1.54GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.65%     149.9MiB / 15.5GiB   0.94%     59.3kB / 67.7kB   28.3MB / 135kB    3
60368a64c337   cachito_asyncio-nexus-1            68.13%    2.083GiB / 15.5GiB   13.44%    2.21MB / 1.18MB   232MB / 385MB     116
24a20d4f4018   cachito_asyncio-db-1               0.03%     45.12MiB / 15.5GiB   0.28%     41.4kB / 32.5kB   48.3MB / 76.4MB   8
2da5f18cb9ee   cachito_asyncio-rabbitmq-1         0.17%     1.612GiB / 15.5GiB   10.40%    41.7kB / 33.2kB   54.5MB / 1.58MB   37
2e052d829465   cachito_asyncio-athens-1           0.00%     18.56MiB / 15.5GiB   0.12%     7.53kB / 870B     31.9MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
bafa4c7ff927   cachito_asyncio-cachito-worker-1   0.31%     516.4MiB / 15.5GiB   3.25%     1.28MB / 117kB    819MB / 1.54GB    8
088cb4583de3   cachito_asyncio-cachito-api-1      0.51%     149.9MiB / 15.5GiB   0.94%     62.4kB / 72.5kB   28.3MB / 143kB    3
