CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   46.20%    129.4MiB / 15.5GiB   0.82%     15.1MB / 156kB    38.5MB / 352kB    12
894c51829de4   cachito_threads-cachito-api-1      0.81%     176.7MiB / 15.5GiB   1.11%     59.6kB / 64.2kB   48.3MB / 90.1kB   3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.89%     1.63GiB / 15.5GiB    10.51%    66.6kB / 52.8kB   46.7MB / 6.21MB   37
dcf3763c4940   cachito_threads-nexus-1            0.64%     2.155GiB / 15.5GiB   13.91%    68.6kB / 16.5kB   218MB / 316MB     88
6e08b5e0ca0a   cachito_threads-db-1               0.00%     105.1MiB / 15.5GiB   0.66%     55.1kB / 30.5kB   26MB / 89.6MB     8
e4f0767f6d62   cachito_threads-athens-1           0.02%     14.62MiB / 15.5GiB   0.09%     14.7kB / 1.37kB   24.2MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   82.06%    394.6MiB / 15.5GiB   2.49%     225MB / 818kB     38.5MB / 49MB     14
894c51829de4   cachito_threads-cachito-api-1      0.64%     176.7MiB / 15.5GiB   1.11%     59.9kB / 64.5kB   48.3MB / 106kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         69.05%    2.763GiB / 15.5GiB   17.83%    70.4kB / 56.6kB   46.7MB / 6.28MB   41
dcf3763c4940   cachito_threads-nexus-1            0.52%     2.155GiB / 15.5GiB   13.90%    68.6kB / 16.5kB   218MB / 316MB     88
6e08b5e0ca0a   cachito_threads-db-1               0.00%     105.2MiB / 15.5GiB   0.66%     55.2kB / 30.6kB   26MB / 89.7MB     8
e4f0767f6d62   cachito_threads-athens-1           0.00%     14.62MiB / 15.5GiB   0.09%     14.7kB / 1.37kB   24.2MB / 0B       14
CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
b129c0206ab3   cachito_threads-cachito-worker-1   112.18%   739.6MiB / 15.5GiB   4.66%     652MB / 1.76MB    38.5MB / 283MB    14
894c51829de4   cachito_threads-cachito-api-1      0.62%     173MiB / 15.5GiB     1.09%     62.8kB / 69kB     48.4MB / 115kB    3
3cb718cedcb7   cachito_threads-rabbitmq-1         0.62%     1.621GiB / 15.5GiB   10.46%    73.6kB / 59.9kB   46.8MB / 6.51MB   37
dcf3763c4940   cachito_threads-nexus-1            9.25%     2.104GiB / 15.5GiB   13.57%    68.6kB / 16.5kB   218MB / 316MB     88
6e08b5e0ca0a   cachito_threads-db-1               0.00%     97.18MiB / 15.5GiB   0.61%     57.9kB / 32.9kB   26MB / 89.7MB     8
